Element Count, Merge Sort - Descending
540, 142190
541, 150560
542, 152790
543, 167040
544, 148290
545, 146360
546, 145740
547, 145390
548, 145970
549, 148340
550, 147710
551, 160800
552, 148630
553, 146810
554, 147050
555, 146590
556, 146550
557, 147700
558, 152520
559, 161680
560, 162660
561, 153650
562, 148470
563, 149150
564, 150110
565, 149530
566, 152130
567, 158550
568, 151870
569, 151050
570, 151370
571, 151130
572, 151680
573, 151010
574, 155150
575, 165270
576, 165130
577, 164330
578, 168680
579, 158370
580, 154670
581, 153950
582, 157290
583, 161010
584, 155870
585, 154570
586, 156740
587, 155480
588, 155870
589, 156610
590, 172720
591, 232570
592, 240030
593, 161300
594, 160710
595, 158530
596, 158620
597, 164700
598, 185600
599, 159370
600, 159680
601, 159740
602, 159550
603, 160440
604, 159540
605, 182930
606, 181480
607, 174800
608, 165380
609, 163740
610, 162710
611, 163340
612, 166680
613, 167470
614, 166110
615, 164700
616, 165000
617, 164770
618, 164890
619, 165160
620, 171270
621, 189410
622, 179690
623, 169620
624, 166110
625, 166900
626, 167380
627, 168780
628, 174740
629, 169430
630, 169570
631, 170760
632, 170190
633, 170530
634, 173450
635, 204550
636, 181660
637, 172530
638, 170860
639, 170720
640, 172970
641, 174610
642, 195790
643, 189050
644, 176630
645, 176300
646, 173160
647, 173490
648, 173130
649, 178300
650, 175620
651, 173810
652, 175190
653, 175100
654, 175130
655, 175680
656, 188790
657, 184090
658, 199310
659, 183710
660, 183780
661, 178230
662, 182700
663, 179810
664, 184420
665, 179790
666, 182100
667, 180040
668, 180120
669, 181000
670, 189810
671, 201150
672, 213560
673, 256730
674, 192840
675, 190540
676, 192620
677, 221330
678, 282170
679, 292560
680, 266010
681, 248320
682, 395950
683, 321900
684, 271170
685, 239570
686, 227940
687, 219850
688, 208680
689, 200600
690, 194490
691, 198680
692, 203950
693, 202260
694, 190950
695, 190220
696, 187640
697, 189670
698, 189570
699, 188770
700, 189610
701, 189650
702, 189830
703, 189690
704, 192340
705, 208790
706, 204410
707, 204130
708, 197790
709, 193590
710, 201560
711, 223610
712, 197590
713, 194660
714, 194300
715, 194000
716, 193960
717, 199660
718, 201320
719, 209390
720, 205760
721, 196910
722, 196250
723, 202110
724, 198610
725, 196940
726, 198540
727, 198230
728, 198370
729, 199560
730, 205780
731, 216720
732, 213750
733, 201760
734, 202750
735, 199940
736, 199650
737, 200720
738, 202610
739, 201880
740, 201260
741, 201580
742, 207160
743, 253670
744, 244160
745, 284450
746, 205940
747, 207070
748, 206960
749, 206000
750, 206430
751, 209230
752, 208180
753, 207500
754, 244050
755, 221720
756, 207820
757, 207770
758, 207570
759, 212460
760, 229340
761, 223800
762, 209060
763, 208600
764, 210790
765, 213950
766, 238200
767, 228940
768, 210740
769, 210000
770, 210650
771, 215910
772, 215290
773, 211600
774, 213090
775, 211280
776, 211940
777, 215500
778, 227440
779, 233140
780, 215160
781, 214450
782, 214190
783, 228230
784, 220420
785, 224490
786, 218000
787, 224540
788, 221180
789, 228650
790, 249190
791, 228960
792, 216480
793, 218000
794, 225480
795, 222470
796, 218050
797, 218390
798, 217450
799, 217710
800, 223540
801, 244750
802, 248060
803, 226020
804, 221090
805, 220450
806, 229350
807, 222310
808, 221040
809, 221500
810, 222430
811, 221000
812, 246710
813, 245560
814, 228910
815, 222340
816, 222520
817, 232040
818, 226650
819, 226590
820, 224300
821, 224380
822, 224390
823, 245920
824, 248300
825, 232880
826, 225560
827, 226290
828, 228670
829, 227110
830, 225620
831, 225820
832, 227460
833, 228360
834, 238390
835, 248990
836, 240310
837, 228530
838, 229180
839, 228920
840, 274920
841, 236790
842, 231850
843, 231850
844, 230280
845, 249870
846, 262310
847, 243480
848, 235570
849, 234880
850, 234460
851, 232880
852, 242160
853, 252100
854, 237890
855, 255900
856, 235550
857, 238360
858, 234890
859, 235460
860, 256610
861, 256640
862, 237410
863, 247580
864, 254720
865, 258510
866, 249050
867, 242860
868, 242700
869, 238270
870, 266130
871, 277690
872, 295280
873, 326790
874, 348170
875, 368400
876, 407840
877, 385220
878, 412040
879, 326110
880, 296870
881, 281830
882, 353100
883, 268350
884, 268410
885, 248790
886, 260110
887, 247260
888, 243470
889, 245320
890, 242800
891, 248760
892, 276260
893, 265400
894, 249180
895, 252020
896, 263110
897, 271810
898, 251020
899, 251050
900, 260010
901, 263690
902, 249520
903, 246430
904, 246000
905, 246570
906, 251870
907, 254440
908, 258910
909, 264870
910, 261230
911, 252610
912, 321050
913, 264320
914, 257940
915, 249050
916, 278110
917, 259590
918, 260330
919, 254560
920, 303870
921, 286410
922, 262710
923, 260870
924, 257910
925, 256630
926, 257490
927, 254680
928, 253960
929, 254570
930, 254820
931, 297080
932, 287690
933, 264130
934, 255540
935, 289630
936, 272290
937, 265530
938, 261980
939, 259210
940, 288220
941, 304670
942, 285010
943, 262000
944, 267670
945, 278190
946, 266410
947, 261890
948, 282800
949, 282520
950, 269710
951, 262870
952, 264370
953, 295860
954, 281440
955, 275510
956, 267750
957, 285390
958, 284750
959, 298200
960, 307300
961, 317460
962, 431580
963, 361040
964, 319540
965, 312450
966, 321210
967, 308650
968, 319900
969, 317100
970, 364250
971, 287080
972, 286040
973, 278230
974, 278280
975, 268910
976, 269750
977, 279890
978, 282050
979, 274760
980, 269500
981, 271260
982, 286230
983, 271840
984, 272000
985, 270510
986, 274500
987, 281140
988, 277610
989, 274490
990, 275220
991, 279400
992, 275070
993, 275800
994, 276650
995, 279400
996, 277480
997, 277000
998, 277450
999, 262860
