Element Count, Quick Sort - Ascending
541, 965630
542, 973660
543, 980670
544, 1031820
545, 1008490
546, 1012820
547, 954110
548, 990290
549, 1021310
550, 1025790
551, 1004510
552, 1073870
553, 1018080
554, 1074550
555, 1064000
556, 1043590
557, 1001220
558, 1020040
559, 1076940
560, 1055370
561, 1055550
562, 1074940
563, 1053230
564, 1029700
565, 1071780
566, 1088910
567, 1065680
568, 1046820
569, 1097040
570, 1109500
571, 1068680
572, 1135400
573, 1121540
574, 1118730
575, 1120320
576, 1190850
577, 1090800
578, 1101810
579, 1110160
580, 1163960
581, 1141520
582, 1111350
583, 1161400
584, 1105180
585, 1116480
586, 1149750
587, 1162790
588, 1159420
589, 1231870
590, 1230770
591, 1213930
592, 1157350
593, 1231040
594, 1205340
595, 1181470
596, 1170840
597, 1214980
598, 1227200
599, 1228990
600, 1229970
601, 1224360
602, 1207840
603, 1251590
604, 1218970
605, 1213910
606, 1240720
607, 1283200
608, 1238080
609, 1237360
610, 1245230
611, 1265730
612, 1242610
613, 1271800
614, 1217760
615, 1294680
616, 1252200
617, 1281690
618, 1370790
619, 1333130
620, 1258220
621, 1274910
622, 1348370
623, 1325030
624, 1350890
625, 1318570
626, 1434790
627, 1330040
628, 1365360
629, 1398110
630, 1308260
631, 1335280
632, 1415190
633, 1402970
634, 1351090
635, 1346970
636, 1442110
637, 1358630
638, 1361070
639, 1442990
640, 1437230
641, 1396260
642, 1368900
643, 1372950
644, 1405150
645, 1381640
646, 1396560
647, 1419450
648, 1393310
649, 1494240
650, 1433320
651, 1381000
652, 1427250
653, 1426890
654, 1419980
655, 1435010
656, 1404040
657, 1442640
658, 1459080
659, 1471960
660, 1460630
661, 1399950
662, 1497610
663, 1463060
664, 1456800
665, 1523170
666, 1499950
667, 1435990
668, 1507680
669, 1600790
670, 1604020
671, 1484710
672, 1484100
673, 1495830
674, 1470150
675, 1481660
676, 1454390
677, 1530360
678, 1552160
679, 1536260
680, 1519870
681, 1535880
682, 1577840
683, 1584230
684, 1567070
685, 1516300
