Element Count, Merge Sort - Ascending
540, 141480
541, 147910
542, 175030
543, 160690
544, 152820
545, 148670
546, 146000
547, 144140
548, 144260
549, 144150
550, 152740
551, 148050
552, 144840
553, 146550
554, 146190
555, 148100
556, 146430
557, 150750
558, 150680
559, 155460
560, 158570
561, 161070
562, 164610
563, 155350
564, 152670
565, 161330
566, 150780
567, 151380
568, 151060
569, 150640
570, 151060
571, 151680
572, 152120
573, 154590
574, 163970
575, 164500
576, 157590
577, 157780
578, 154310
579, 155360
580, 162180
581, 156710
582, 160140
583, 164790
584, 179690
585, 167370
586, 156030
587, 157150
588, 156480
589, 156310
590, 167900
591, 174380
592, 174510
593, 158810
594, 157920
595, 159320
596, 162640
597, 161250
598, 168720
599, 175000
600, 174850
601, 168310
602, 162470
603, 162420
604, 160920
605, 165410
606, 184240
607, 189920
608, 162800
609, 162350
610, 164810
611, 164310
612, 162620
613, 165940
614, 181460
615, 183850
616, 166480
617, 165440
618, 174910
619, 173310
620, 166290
621, 174670
622, 171810
623, 165280
624, 165410
625, 167630
626, 168320
627, 166610
628, 218030
629, 183400
630, 173280
631, 193690
632, 181840
633, 179240
634, 176450
635, 179830
636, 183430
637, 177490
638, 177230
639, 178340
640, 170770
641, 181570
642, 182190
643, 184500
644, 181180
645, 185230
646, 176330
647, 173580
648, 179780
649, 174480
650, 180170
651, 176700
652, 174220
653, 175450
654, 178200
655, 176120
656, 176520
657, 179140
658, 176600
659, 192990
660, 187690
661, 183260
662, 179420
663, 178430
664, 200210
665, 179940
666, 179430
667, 181470
668, 181730
669, 181530
670, 182790
671, 190590
672, 200280
673, 277330
674, 198080
675, 189550
676, 186070
677, 213790
678, 203520
679, 184330
680, 187530
681, 185630
682, 184610
683, 202700
684, 214520
685, 207750
686, 194220
687, 189420
688, 186670
689, 186520
690, 197690
691, 187000
692, 186560
693, 187170
694, 190080
695, 188460
696, 188620
697, 208950
698, 211810
699, 228670
700, 233790
701, 203280
702, 197870
703, 193500
704, 189040
705, 191060
706, 196930
707, 190640
708, 191660
709, 198780
710, 231080
711, 212580
712, 206380
713, 194920
714, 193820
715, 196080
716, 203850
717, 196410
718, 194980
719, 196830
720, 194980
721, 197930
722, 217560
723, 228500
724, 223980
725, 203750
726, 196850
727, 196660
728, 204580
729, 201650
730, 197710
731, 199700
732, 208290
733, 218280
734, 239750
735, 241590
736, 240240
737, 254630
738, 235480
739, 219990
740, 227310
741, 219960
742, 213830
743, 206190
744, 210260
745, 209090
746, 213820
747, 217110
748, 221450
749, 215260
750, 205390
751, 209050
752, 231010
753, 207280
754, 207320
755, 212750
756, 207700
757, 207620
758, 229200
759, 227420
760, 210190
761, 210110
762, 208250
763, 210380
764, 225600
765, 228290
766, 210390
767, 209070
768, 211400
769, 216770
770, 219340
771, 226730
772, 227720
773, 218750
774, 218710
775, 217170
776, 215330
777, 214320
778, 213310
779, 213540
780, 213320
781, 214050
782, 216100
783, 232620
784, 221730
785, 214650
786, 227190
787, 222220
788, 217360
789, 216720
790, 218240
791, 216390
792, 221160
793, 217390
794, 233170
795, 225620
796, 219900
797, 222550
798, 217540
799, 220230
800, 217630
801, 219890
802, 229840
803, 231220
804, 219310
805, 218600
806, 239660
807, 226550
808, 234580
809, 224390
810, 233690
811, 224380
812, 222410
813, 231020
814, 223630
815, 222420
816, 226690
817, 244020
818, 228880
819, 224280
820, 223390
821, 232470
822, 228020
823, 234730
824, 225750
825, 224420
826, 227460
827, 226970
828, 245100
829, 233850
830, 227580
831, 244670
832, 251350
833, 237170
834, 231300
835, 227820
836, 228730
837, 232240
838, 229290
839, 248200
840, 239670
841, 230010
842, 232610
843, 231800
844, 229060
845, 232160
846, 234430
847, 236420
848, 231420
849, 232640
850, 255500
851, 236470
852, 243110
853, 233230
854, 236360
855, 233570
856, 235400
857, 244230
858, 234210
859, 237750
860, 237430
861, 274390
862, 244580
863, 235830
864, 237330
865, 239970
866, 237710
867, 248550
868, 241500
869, 239180
870, 238880
871, 262500
872, 260490
873, 240230
874, 239200
875, 241940
876, 240460
877, 248670
878, 244390
879, 242010
880, 246230
881, 250560
882, 263680
883, 246410
884, 242800
885, 244470
886, 247710
887, 244390
888, 244290
889, 242840
890, 242770
891, 244090
892, 245870
893, 270640
894, 249510
895, 245640
896, 248440
897, 249700
898, 246500
899, 247640
900, 245160
901, 246780
902, 263960
903, 257590
904, 250200
905, 252390
906, 248910
907, 250030
908, 250050
909, 249470
910, 248330
911, 249760
912, 263560
913, 277680
914, 264560
915, 251630
916, 261260
917, 256910
918, 253110
919, 253040
920, 251930
921, 257370
922, 253590
923, 275760
924, 264430
925, 253670
926, 258840
927, 254060
928, 254030
929, 265580
930, 266300
931, 308460
932, 285320
933, 264550
934, 257390
935, 276660
936, 260300
937, 260720
938, 261210
939, 259970
940, 265070
941, 257140
942, 281480
943, 268690
944, 263220
945, 262120
946, 260050
947, 259790
948, 264130
949, 264110
950, 261640
951, 268640
952, 285130
953, 273380
954, 260620
955, 264540
956, 262650
957, 262110
958, 268050
959, 261400
960, 261510
961, 297560
962, 290080
963, 265600
964, 262630
965, 267390
966, 267120
967, 277970
968, 265530
969, 265550
970, 271070
971, 269470
972, 292000
973, 271710
974, 270410
975, 267190
976, 268410
977, 266560
978, 268700
979, 270460
980, 293340
981, 271870
982, 268860
983, 272920
984, 272150
985, 272850
986, 269440
987, 270710
988, 271770
989, 290990
990, 283800
991, 273850
992, 272890
993, 277570
994, 277980
995, 275570
996, 272630
997, 272550
998, 282590
999, 298270
