Element Count, Merge Sort - Random
540, 155220
541, 166420
542, 167600
543, 169560
544, 167340
545, 165290
546, 165490
547, 157750
548, 156670
549, 157660
550, 158470
551, 174890
552, 161010
553, 160020
554, 170400
555, 160160
556, 159160
557, 160160
558, 164590
559, 198200
560, 169930
561, 162690
562, 171040
563, 170000
564, 163040
565, 161730
566, 165030
567, 186570
568, 169080
569, 176250
570, 165380
571, 181690
572, 176780
573, 167140
574, 165450
575, 166920
576, 168710
577, 167200
578, 166950
579, 189850
580, 190140
581, 168460
582, 187230
583, 210840
584, 186350
585, 180570
586, 198230
587, 192290
588, 181890
589, 178910
590, 186260
591, 191740
592, 181280
593, 187930
594, 199320
595, 189900
596, 181860
597, 183630
598, 224860
599, 184270
600, 183910
601, 203470
602, 192090
603, 187220
604, 185900
605, 195950
606, 201120
607, 187930
608, 196210
609, 200590
610, 191540
611, 187850
612, 199750
613, 210030
614, 189700
615, 190420
616, 189710
617, 193410
618, 197710
619, 212890
620, 213230
621, 192990
622, 193770
623, 208200
624, 198890
625, 193750
626, 196910
627, 208820
628, 193220
629, 199180
630, 204730
631, 206160
632, 201970
633, 216630
634, 208340
635, 195260
636, 210910
637, 210160
638, 205890
639, 196980
640, 210230
641, 214290
642, 199200
643, 211310
644, 210170
645, 199140
646, 199090
647, 210850
648, 193730
649, 192020
650, 200490
651, 202110
652, 201440
653, 195080
654, 228680
655, 218170
656, 222860
657, 290380
658, 199960
659, 222660
660, 217940
661, 210600
662, 212270
663, 218290
664, 221990
665, 209670
666, 209790
667, 217280
668, 207970
669, 218230
670, 225490
671, 221370
672, 215530
673, 232080
674, 214960
675, 213770
676, 239510
677, 215520
678, 211010
679, 217620
680, 221190
681, 212610
682, 229350
683, 225460
684, 212260
685, 214640
686, 219260
687, 215080
688, 220900
689, 235040
690, 221270
691, 217350
692, 221810
693, 218950
694, 220130
695, 217440
696, 218680
697, 229960
698, 260590
699, 237480
700, 230650
701, 219550
702, 220720
703, 236580
704, 233720
705, 235120
706, 223470
707, 224660
708, 240280
709, 229950
710, 225450
711, 227090
712, 224310
713, 243410
714, 233710
715, 229540
716, 226030
717, 270040
718, 215540
719, 251500
720, 263750
721, 242790
722, 231960
723, 235360
724, 229960
725, 253380
726, 241390
727, 229640
728, 231350
729, 240210
730, 235500
731, 263930
732, 238540
733, 231840
734, 232630
735, 254320
736, 286000
737, 264710
738, 258700
739, 275330
740, 315110
741, 335590
742, 389650
743, 313730
744, 301690
745, 293920
746, 288900
747, 310100
748, 287390
749, 334100
750, 379930
751, 385690
752, 330350
753, 348950
754, 353370
755, 306520
756, 314810
757, 466400
758, 351580
759, 279320
760, 273360
761, 312330
762, 273300
763, 263510
764, 306240
765, 283440
766, 376340
767, 384670
768, 430890
769, 400170
770, 320310
771, 305910
772, 267880
773, 259930
774, 260720
775, 283800
776, 301110
777, 299020
778, 272660
779, 296710
780, 324490
781, 302840
782, 349490
783, 308510
784, 428230
785, 392690
786, 419840
787, 404730
788, 351710
789, 328870
790, 323160
791, 398620
792, 308980
793, 330490
794, 292950
795, 323220
796, 291720
797, 331260
798, 310920
799, 285060
800, 306850
801, 311470
802, 278910
803, 275110
804, 310150
805, 317450
806, 281020
807, 280840
808, 275710
809, 285030
810, 341070
811, 314680
812, 315330
813, 305940
814, 314650
815, 349390
816, 413690
817, 335420
818, 359840
819, 355200
820, 319620
821, 302580
822, 315060
823, 322690
824, 297190
825, 278460
826, 298670
827, 303460
828, 297130
829, 271100
830, 274930
831, 278230
832, 314150
833, 289560
834, 352970
835, 371300
836, 394440
837, 345740
838, 315170
839, 315840
840, 318500
841, 316280
842, 288680
843, 279580
844, 278950
845, 283930
846, 297180
847, 285160
848, 279180
849, 278670
850, 289460
851, 285590
852, 271800
853, 275210
854, 295920
855, 317750
856, 285280
857, 276540
858, 277990
859, 273260
860, 305660
861, 276290
862, 280970
863, 273790
864, 285600
865, 343450
866, 286860
867, 280280
868, 277500
869, 288340
870, 299220
871, 277690
872, 276550
873, 280630
874, 291830
875, 288980
876, 278430
877, 294920
878, 291820
879, 297550
880, 294880
881, 288460
882, 284190
883, 281790
884, 293750
885, 316190
886, 291220
887, 285610
888, 282240
889, 316100
890, 298080
891, 291030
892, 285940
893, 305520
894, 339840
895, 292900
896, 296940
897, 280250
898, 307220
899, 325410
900, 318290
901, 327990
902, 314060
903, 333870
904, 302300
905, 309070
906, 320310
907, 299530
908, 290920
909, 293760
910, 315120
911, 292910
912, 301300
913, 301080
914, 310620
915, 328010
916, 296450
917, 293780
918, 312710
919, 306620
920, 324720
921, 341650
922, 317160
923, 318600
924, 314560
925, 313170
926, 329010
927, 302540
928, 332370
929, 301550
930, 315880
931, 295500
932, 324040
933, 314140
934, 299150
935, 313180
936, 303610
937, 334750
938, 307200
939, 317290
940, 303340
941, 326120
942, 320570
943, 303300
944, 304980
945, 320260
946, 302370
947, 321000
948, 353830
949, 326460
950, 309550
951, 323950
952, 323650
953, 335500
954, 310440
955, 331770
956, 322850
957, 334310
958, 310660
959, 339850
960, 310410
961, 315480
962, 319470
963, 328780
964, 331390
965, 310820
966, 317560
967, 313890
968, 346360
969, 321790
970, 321530
971, 313600
972, 313980
973, 316310
974, 317400
975, 316520
976, 315630
977, 314890
978, 314100
979, 325910
980, 314380
981, 313970
982, 314790
983, 321300
984, 315470
985, 315860
986, 317010
987, 314220
988, 322900
989, 317250
990, 318490
991, 317970
992, 321890
993, 304970
994, 302940
995, 305840
996, 314660
997, 310200
998, 307630
999, 308940
