Element Count, Selection Sort - Ascending
541, 766980
542, 737200
543, 767520
544, 740830
545, 767900
546, 746970
547, 757400
548, 751640
549, 772830
550, 757870
551, 784380
552, 795200
553, 914990
554, 892970
555, 898330
556, 923030
557, 891680
558, 813450
559, 777850
560, 808020
561, 790160
562, 798000
563, 793060
564, 795190
565, 795110
566, 803570
567, 805700
568, 830780
569, 813290
570, 816750
571, 820160
572, 823930
573, 827880
574, 824590
575, 827110
576, 832580
577, 840510
578, 836090
579, 835910
580, 844460
581, 853650
582, 912810
583, 863710
584, 861610
585, 856510
586, 856010
587, 975820
588, 1277830
589, 919380
590, 872020
591, 875720
592, 878300
593, 886060
594, 884590
595, 884680
596, 884320
597, 909810
598, 911220
599, 903860
600, 920170
601, 900360
602, 913220
603, 915620
604, 917900
605, 920040
606, 917620
607, 927060
608, 940190
609, 932900
610, 940880
611, 943640
612, 962240
613, 948920
614, 963570
615, 997190
616, 962730
617, 990650
618, 995730
619, 975790
620, 973400
621, 964350
622, 979130
623, 1003410
624, 969730
625, 1019120
626, 983570
627, 975760
628, 1005760
629, 1001410
630, 990000
631, 1014790
632, 1009580
633, 999740
634, 1007770
635, 1037020
636, 1004690
637, 1049520
638, 1033810
639, 1021090
640, 1027380
641, 1036130
642, 1030270
643, 1032210
644, 1059650
645, 1040890
646, 1072400
647, 1053370
648, 1052730
649, 1053870
650, 1065630
651, 1065370
652, 1064760
653, 1063050
654, 1070680
655, 1070660
656, 1073570
657, 1084580
658, 1086490
659, 1080890
660, 1088550
661, 1263240
662, 1092320
663, 1098630
664, 1097550
665, 1107470
666, 1106510
667, 1104980
668, 1111280
669, 1119160
670, 1220940
671, 1123730
672, 1131320
673, 1133840
674, 1144330
675, 1133030
676, 1136320
677, 1155610
678, 1157900
679, 1156650
680, 1152720
681, 1158580
682, 1164620
683, 1173370
684, 1165500
685, 1176590
686, 1179050
687, 1192470
688, 1188330
689, 1216770
690, 1202640
691, 1194010
692, 1192480
693, 1547650
694, 1201150
695, 1213720
696, 1210930
697, 1213920
698, 1219040
699, 1273710
700, 1243760
701, 1225280
702, 1233580
703, 1235730
704, 1245930
705, 1548170
706, 1250320
707, 1247350
708, 1257650
709, 1254680
710, 1253900
711, 1272790
712, 1278080
713, 1273290
714, 1274710
715, 1280100
716, 1305220
717, 1292970
718, 1312390
719, 1285580
720, 1303340
721, 1293740
722, 1298690
723, 1308650
724, 1307920
725, 1339100
726, 1318690
727, 1323770
728, 1340430
729, 1324430
730, 1347720
