Element Count, Quick Sort - Random
544, 42460
545, 39060
546, 43000
547, 41110
548, 46250
549, 43050
550, 47950
551, 45510
552, 39140
553, 40380
554, 44790
555, 45030
556, 46330
557, 47940
558, 43030
559, 46050
560, 41540
561, 40570
562, 40370
563, 47320
564, 41230
565, 39270
566, 44370
567, 45140
568, 44910
569, 41700
570, 43480
571, 45970
572, 44880
573, 44250
574, 40110
575, 45850
576, 49300
577, 59720
578, 51260
579, 67290
580, 53700
581, 50140
582, 50400
583, 57120
584, 55990
585, 49900
586, 48510
587, 49750
588, 53160
589, 54230
590, 53030
591, 60000
592, 59090
593, 55680
594, 58230
595, 79640
596, 65270
597, 56880
598, 63110
599, 55600
600, 64200
601, 60010
602, 50430
603, 57880
604, 69020
605, 63910
606, 48690
607, 49600
608, 45350
609, 50350
610, 51560
611, 53130
612, 55630
613, 69650
614, 60640
615, 60540
616, 68110
617, 71330
618, 70560
619, 85410
620, 71000
621, 68050
622, 67200
623, 72490
624, 66570
625, 56550
626, 49060
627, 52990
628, 59330
629, 49230
630, 48130
631, 53090
632, 52820
633, 46550
634, 55810
635, 52680
636, 47470
637, 51830
638, 49660
639, 51310
640, 56040
641, 53720
642, 48420
643, 51880
644, 46990
645, 55390
646, 58900
647, 60240
648, 54660
649, 51870
650, 51120
651, 58700
652, 51800
653, 49130
654, 49740
655, 51900
656, 53390
657, 49530
658, 49160
659, 47550
660, 50080
661, 55530
662, 57120
663, 66670
664, 59000
665, 51300
666, 53070
667, 54240
668, 52930
669, 80170
670, 69650
671, 54180
672, 57890
673, 64320
674, 53960
675, 80210
676, 77480
677, 77740
678, 82680
679, 83220
680, 71090
681, 76190
682, 57400
683, 54440
684, 57860
685, 55100
686, 69770
687, 60450
688, 54700
689, 68080
690, 73240
691, 63900
692, 63580
693, 71380
694, 67120
695, 60950
696, 54060
697, 57210
698, 75660
699, 72700
700, 80010
701, 78070
702, 70220
703, 76790
704, 75830
705, 81220
706, 71060
707, 66490
708, 70390
709, 71990
710, 81360
711, 76630
712, 75800
713, 77820
714, 80770
715, 74050
716, 76530
717, 77290
718, 81370
719, 79640
720, 81500
721, 81850
722, 67070
723, 55490
724, 82730
725, 86090
726, 88890
727, 84930
728, 87730
729, 78110
730, 98500
731, 86320
732, 74100
733, 74080
734, 67180
735, 72420
736, 55940
737, 65450
738, 67510
739, 63260
740, 60040
741, 57110
742, 65080
743, 61100
744, 56550
745, 93160
746, 76620
747, 83480
748, 87620
749, 101790
750, 72550
751, 83510
752, 74380
753, 84240
754, 87920
755, 102900
756, 95090
757, 85340
758, 88590
759, 89860
760, 96520
761, 86640
762, 89900
763, 83590
764, 77030
765, 105750
766, 93020
767, 99050
768, 105780
769, 106110
770, 99430
771, 101530
772, 94880
773, 125370
774, 97180
775, 94330
776, 96360
777, 103730
778, 95480
779, 101930
780, 113300
781, 99680
782, 94080
783, 97880
784, 101780
785, 100310
786, 99010
787, 98700
788, 93920
789, 97790
790, 127850
791, 96160
792, 92580
793, 99410
794, 111980
795, 99180
796, 121300
797, 104520
798, 109470
799, 95460
800, 108700
801, 105580
802, 99740
803, 94000
804, 101980
805, 98490
806, 96590
807, 90310
808, 84100
809, 96500
810, 91300
811, 79130
812, 107000
813, 110330
814, 104560
815, 93180
816, 95480
817, 99990
818, 114010
819, 103620
820, 91940
821, 90170
822, 97150
823, 109220
824, 100480
825, 102960
826, 93760
827, 92440
828, 96750
829, 91690
830, 99820
831, 104040
832, 95110
833, 99500
834, 96260
835, 81170
836, 73690
837, 84740
838, 76720
839, 72190
840, 84810
841, 113790
842, 82320
843, 86190
844, 86660
845, 89670
846, 99010
847, 102580
848, 78410
849, 69160
850, 71940
851, 71720
852, 67460
853, 75870
854, 106140
855, 78900
856, 77670
857, 75930
858, 84220
859, 92060
860, 88590
861, 102630
862, 96000
863, 78400
864, 99010
865, 115860
866, 86010
867, 76960
868, 84150
869, 95320
870, 113780
871, 103610
872, 105790
873, 104090
874, 82720
875, 90770
876, 87970
877, 89450
878, 80400
879, 75710
880, 88640
881, 115090
882, 81130
883, 79930
884, 85810
885, 111560
886, 83430
887, 92160
888, 84390
889, 90120
890, 84080
891, 104090
892, 109780
893, 119300
894, 128970
895, 113270
896, 110200
897, 87420
898, 112370
899, 95610
900, 107680
901, 112120
902, 107080
903, 81200
904, 91200
905, 127290
906, 116980
907, 116100
908, 79550
909, 81010
910, 78970
911, 74070
912, 79590
913, 76930
914, 94720
915, 79690
916, 81740
917, 95010
918, 105430
919, 107810
920, 93490
921, 103020
922, 118690
923, 95290
924, 89760
925, 94900
926, 86000
927, 95880
928, 104960
929, 116660
930, 87940
931, 90840
932, 86150
933, 114700
934, 119880
935, 111730
936, 90000
937, 93300
938, 109570
939, 92890
940, 98210
941, 102610
942, 95270
943, 105540
944, 100510
945, 117920
946, 111710
947, 120390
948, 135450
949, 91330
950, 119020
951, 119600
952, 137440
953, 114060
954, 132210
955, 138080
956, 125910
957, 118610
958, 119790
959, 130050
960, 119230
961, 137370
962, 151820
963, 130290
964, 128100
965, 122020
966, 141310
967, 146690
968, 142850
969, 131500
970, 129940
971, 144620
972, 144130
973, 130190
974, 122430
975, 135450
976, 101480
977, 121300
978, 118030
979, 121900
