Element Count, Quick Sort - Descending
541, 800070
542, 781270
543, 807630
544, 804150
545, 783770
546, 938680
547, 836350
548, 794650
549, 836380
550, 826370
551, 825460
552, 819310
553, 825780
554, 848820
555, 882160
556, 865250
557, 838760
558, 877720
559, 857150
560, 856940
561, 865040
562, 860010
563, 885240
564, 883050
565, 873740
566, 890450
567, 857870
568, 868690
569, 858970
570, 883050
571, 912160
572, 923150
573, 888190
574, 898920
575, 891450
576, 909920
577, 879810
578, 924080
579, 914310
580, 884560
581, 931620
582, 929050
583, 1022380
584, 925990
585, 931030
586, 928480
587, 942060
588, 929010
589, 956570
590, 905840
591, 913540
592, 906810
593, 900120
594, 956600
595, 943740
596, 955550
597, 1108070
598, 994810
599, 967620
600, 959980
601, 1000220
602, 960010
603, 961840
604, 964740
605, 987220
606, 998940
607, 962900
608, 1129310
609, 1061090
610, 972810
611, 1029830
612, 1019450
613, 974680
614, 960340
615, 1021010
616, 1010580
617, 1008840
618, 1156720
619, 1025580
620, 1034880
621, 1056350
622, 1037410
623, 1041960
624, 1080340
625, 1062560
626, 1167520
627, 1105880
628, 1161980
629, 1151420
630, 1062440
631, 1149990
632, 1089370
633, 1104740
634, 1167680
635, 1137420
636, 1133610
637, 1138920
638, 1239430
639, 1144860
640, 1075520
641, 1164910
642, 1105800
643, 1116720
644, 1134000
645, 1138970
646, 1121410
647, 1127440
648, 1123380
649, 1140080
650, 1136360
651, 1151200
652, 1139980
653, 1107800
654, 1140820
655, 1150480
656, 1143140
657, 1144800
658, 1163370
659, 1140930
660, 1153340
661, 1151540
662, 1150270
663, 1180660
664, 1179530
665, 1165420
666, 1159970
667, 1175120
668, 1196950
669, 1189360
670, 1204070
671, 1189110
672, 1210910
673, 1188620
674, 1238540
675, 1215540
676, 1210520
677, 1205660
678, 1175620
679, 1217570
680, 1174290
681, 1207910
682, 1196650
683, 1209330
684, 1232520
685, 1193520
686, 1247120
687, 1240740
688, 1227290
689, 1237870
690, 1267460
691, 1228840
692, 1247540
693, 1236970
694, 1246710
695, 1248770
696, 1230040
697, 1268040
698, 1269460
699, 1257430
700, 1290920
701, 1224080
702, 1300200
703, 1259220
704, 1288100
705, 1289130
706, 1254880
707, 1301920
708, 1292460
709, 1278450
710, 1318480
711, 1305300
712, 1323680
713, 1309120
714, 1350360
715, 1355470
716, 1338240
717, 1354230
718, 1360550
719, 1585060
720, 1393640
721, 1366050
722, 1371900
723, 1369810
724, 1427090
725, 1355830
726, 1349430
727, 1368450
728, 1376470
729, 1344360
730, 1361370
731, 1385460
732, 1419510
733, 1569730
734, 1442540
735, 1438770
736, 1512150
737, 1461330
738, 1471670
739, 1397190
740, 1429040
741, 1426740
742, 1442310
743, 1422650
744, 1430190
745, 1442480
746, 1472520
747, 1428130
748, 1434350
749, 1421600
750, 1443720
751, 1460290
752, 1500470
753, 1499280
754, 1492640
755, 1484020
756, 1446830
757, 1520180
758, 1484640
759, 1487800
760, 1482920
761, 1501250
762, 1494570
763, 1543980
764, 1538520
765, 1522990
766, 1526360
767, 1502050
768, 1481960
769, 1482500
770, 1545750
771, 1589140
772, 1561120
773, 1572780
774, 1523400
775, 1534140
776, 1496810
777, 1542200
778, 1561130
779, 1537720
780, 1550710
781, 1711180
782, 1653090
783, 1662040
784, 1672340
785, 1679290
786, 1624050
787, 1720500
788, 1689340
789, 1620070
790, 1627100
791, 1593980
792, 1586700
793, 1629810
794, 1622260
795, 1584320
796, 1639460
797, 1782870
798, 1700510
799, 1730610
800, 1745590
801, 1763490
802, 1756390
803, 1733140
804, 1773010
805, 1796300
806, 1764320
807, 1791190
808, 1759640
809, 1733450
810, 1795730
811, 1815690
812, 1800550
813, 1782420
814, 1733590
815, 1806230
816, 1768240
817, 1789420
818, 1805530
819, 1839910
820, 1836320
821, 1868280
822, 1863080
823, 1816360
824, 1835850
825, 1719740
826, 1690290
827, 1808460
828, 1767160
829, 1774570
830, 1782700
831, 1814280
832, 1812660
833, 1960170
834, 1891740
835, 1940950
836, 1885950
837, 1786190
838, 1826300
839, 1865320
840, 1808790
841, 1800340
842, 1841820
843, 1813300
844, 1841450
845, 1841360
846, 1856350
847, 1922650
848, 1834580
849, 1846390
850, 1826060
851, 1839870
852, 1896430
853, 1880140
854, 1839280
855, 1943180
856, 1911600
857, 1885080
858, 1908760
859, 1855290
860, 1905570
861, 1892900
862, 1905820
863, 1929300
864, 1954290
865, 1980600
866, 1933160
867, 1962130
868, 1920350
869, 1929180
870, 2001660
871, 1985740
872, 1989410
873, 2038580
874, 2030630
875, 2003050
876, 2021090
877, 2045170
878, 1970400
879, 2044220
880, 2020210
881, 2000610
882, 2002960
883, 2020560
884, 2071940
885, 2216200
886, 2175440
887, 2160270
888, 2338290
889, 2345840
890, 2296390
891, 2398560
892, 2244330
893, 2856010
894, 2279170
895, 2406790
896, 2271390
897, 2282450
898, 2266910
899, 2359120
900, 2447190
901, 2392800
902, 2344470
903, 2357680
904, 2281400
905, 2222530
906, 2215180
907, 2234910
908, 2230860
909, 2331650
910, 2360840
911, 2328310
912, 2268260
913, 2398400
914, 2278810
915, 2241490
916, 2331970
917, 2305310
918, 2370950
919, 2380390
920, 2306540
921, 2289330
922, 2341500
923, 2275090
924, 2174520
925, 2203200
926, 2219360
927, 2172590
928, 2158630
929, 2276920
930, 2248220
931, 2180330
932, 2343760
933, 2262760
934, 2223500
935, 2227630
936, 2197060
937, 2260450
938, 2285420
939, 2264660
940, 2487950
941, 2400930
942, 2363340
943, 2462660
944, 2487540
945, 2459030
946, 2467090
947, 2420040
948, 2363190
949, 2326230
950, 2357020
951, 2361470
952, 2390990
953, 2516210
954, 2455110
955, 2455630
956, 2494240
957, 2447190
958, 2538520
959, 2478360
960, 2445120
961, 2540680
962, 2494110
963, 2612740
964, 2557280
965, 2454100
966, 2484320
967, 2515860
