Element Count, Selection Sort - Descending
541, 864940
542, 826350
543, 783640
544, 763540
545, 758850
546, 760500
547, 765780
548, 766750
549, 767310
550, 785180
551, 775790
552, 782430
553, 777800
554, 785110
555, 782840
556, 798140
557, 790930
558, 809100
559, 794610
560, 814560
561, 803420
562, 802570
563, 824640
564, 830080
565, 794260
566, 805680
567, 802940
568, 819400
569, 819540
570, 819540
571, 834840
572, 824830
573, 807410
574, 974800
575, 836130
576, 859080
577, 864260
578, 860130
579, 893880
580, 868730
581, 869660
582, 870530
583, 891100
584, 879690
585, 894020
586, 894070
587, 902880
588, 886160
589, 890490
590, 891640
591, 887770
592, 1041180
593, 909420
594, 911660
595, 908560
596, 909070
597, 918560
598, 909570
599, 871580
600, 889220
601, 885700
602, 889590
603, 885060
604, 904910
605, 899910
606, 887330
607, 893100
608, 894320
609, 1001120
610, 927740
611, 939470
612, 938520
613, 1088070
614, 970170
615, 975080
616, 974800
617, 974750
618, 942580
619, 939660
620, 940600
621, 938590
622, 945600
623, 940820
624, 963840
625, 961530
626, 954550
627, 946900
628, 956810
629, 953330
630, 966560
631, 974680
632, 961890
633, 1543330
634, 1044180
635, 976650
636, 976010
637, 983030
638, 985270
639, 985520
640, 1086650
641, 997830
642, 1001730
643, 1006190
644, 1018920
645, 1000910
646, 1012560
647, 1015540
648, 1012630
649, 1020590
650, 1027690
651, 1028160
652, 1032860
653, 1058120
654, 1064650
655, 1068440
656, 1077890
657, 1070970
658, 1076390
659, 1094790
660, 1079230
661, 1094360
662, 1097420
663, 1102010
664, 1121990
665, 1122080
666, 1111280
667, 1121530
668, 1111410
669, 1106270
670, 1102450
671, 1103970
672, 1100700
673, 1099680
674, 1094100
675, 1110800
676, 1111650
677, 1102970
678, 1121130
679, 1119780
680, 1116880
681, 1130390
682, 1123950
683, 1132970
684, 1145130
685, 1149790
686, 1153120
687, 1158590
688, 1151140
689, 1148840
690, 1148930
691, 1222250
692, 1181720
693, 1157480
694, 1164520
695, 1167660
696, 1176850
697, 1180380
698, 1175420
699, 1182380
700, 1187350
701, 1226260
702, 1192540
703, 1191840
704, 1216050
705, 1220990
706, 1231170
707, 1215730
708, 1250460
709, 1221500
710, 1219410
711, 1230370
712, 1232790
713, 1231030
714, 1237020
715, 1242500
716, 1251410
717, 1250960
718, 1246350
719, 1256830
720, 1257280
721, 1262720
722, 1261990
723, 1266240
724, 1274040
725, 1365870
726, 1300010
727, 1285700
728, 1276480
729, 1294520
730, 1352480
731, 1341970
732, 1298300
733, 1308140
734, 1320460
735, 1314620
736, 1314360
737, 1310130
738, 1503810
739, 1394970
740, 1397820
741, 1401850
742, 1459940
743, 1415130
744, 1413270
745, 1408650
746, 1427390
747, 1429540
748, 1424420
749, 1432460
750, 1451020
751, 1441570
752, 1447590
753, 1445740
754, 1461250
755, 1455760
756, 1454070
757, 1463700
758, 1458330
759, 1464010
760, 1478330
761, 1477480
762, 1481980
763, 1486470
764, 1487740
765, 1492100
766, 1493510
767, 1454570
768, 1467600
769, 1455640
770, 1443890
771, 1453260
772, 1447190
773, 1449690
774, 1452050
775, 1463880
776, 1494040
777, 1494640
778, 1481830
779, 1491500
780, 1477490
781, 1477530
782, 1482660
783, 1486660
784, 1507240
785, 1655640
786, 1673290
787, 2006540
788, 1492870
789, 1499030
790, 1504700
791, 1512820
792, 1629420
793, 1550310
794, 1528700
795, 1522630
796, 1553320
797, 1532090
798, 1541800
799, 1565020
800, 1546770
801, 1546240
802, 1552310
803, 1606560
804, 1558120
805, 1560020
806, 1572210
807, 1572710
808, 1575780
809, 1580080
810, 1605260
811, 1587780
812, 1592590
813, 1592280
814, 1598710
815, 1604890
816, 1618480
817, 1610580
818, 1615640
819, 1618020
820, 1803970
821, 1649260
822, 1631840
823, 1629810
824, 1641900
825, 1645760
826, 1651710
827, 1648440
828, 1652050
829, 1656660
830, 1691710
831, 1666760
832, 1864450
833, 1821510
834, 1680540
835, 1684120
836, 1691250
837, 1691680
838, 1701880
839, 1736010
840, 1703140
841, 1723400
842, 1715190
843, 1712150
844, 1723930
845, 1722920
846, 1724840
847, 1732640
848, 1742410
849, 1743640
850, 1744930
851, 1741360
852, 1754350
853, 1756860
854, 1760900
855, 1759590
856, 1776200
857, 1777210
858, 1797400
859, 1779560
860, 1780080
861, 1792230
862, 1797570
863, 1794240
864, 1818510
865, 1865430
866, 1834400
867, 1823170
868, 1827270
869, 1819990
870, 1884040
871, 1864010
872, 1833890
873, 1847190
874, 1844010
875, 1846010
876, 1860060
877, 1866930
878, 1859850
879, 1875580
880, 1871190
881, 1880580
882, 1878770
883, 1883160
884, 1889600
885, 1894860
886, 1895620
887, 1897340
888, 1900240
889, 1933650
890, 1952580
891, 1965480
892, 1969340
893, 1956320
894, 1938710
895, 1944970
896, 1958130
897, 1973050
898, 1958000
899, 1965100
900, 1950940
901, 1976650
902, 1968620
903, 1968880
904, 1972530
905, 1976380
906, 1988510
907, 1997780
908, 1981710
909, 2002720
910, 2001460
911, 1996130
912, 2017950
913, 2017440
914, 2012420
915, 2023650
916, 2021310
917, 2053190
918, 2046630
919, 2040860
920, 2054050
921, 2041550
922, 2056230
923, 2057090
924, 2069780
925, 2108170
926, 2096990
927, 2093300
928, 2094000
929, 2092890
930, 2103670
931, 2094730
932, 2109620
933, 2125950
934, 2112930
935, 2108250
936, 2109250
937, 2125760
938, 2128050
939, 2122380
940, 2140810
941, 2174300
942, 2162490
943, 2147050
944, 2144910
945, 2170180
946, 2157330
947, 2175530
948, 2171730
949, 2185720
950, 2223600
951, 2213010
952, 2287920
953, 2202390
954, 2224110
955, 2235470
956, 2237050
957, 2219100
958, 2212300
959, 2237500
960, 2237730
961, 2235620
962, 2235410
963, 2332990
964, 2297970
965, 2300510
966, 2535310
967, 2392910
968, 2402760
969, 2378550
970, 2703870
971, 2495370
972, 2427390
973, 2475830
974, 2439380
975, 2690100
976, 2817430
977, 2443800
978, 2531360
979, 2621930
980, 2517640
981, 2643810
982, 2497910
983, 2476930
984, 2511910
985, 3338280
986, 3216430
987, 2989910
988, 2936660
989, 3389050
990, 2698030
991, 2831990
992, 2670050
993, 2823980
994, 2874110
995, 2716010
996, 2993250
997, 2610910
998, 2530360
999, 2461180
